player,team,number_of_matches_played,runs_scored,balls_faced,fours,sixes,strike_rate,wickets_taken,runs_conceded,balls_bowled,economy,no_dismissal
Abdul Samad,SRH,12,182,108,15,11,168.52,0,0,0,0,10
Abhinav Manohar,GT,2,9,16,1,0,56.25,0,0,0,0,2
Abhishek Sharma,SRH,16,484,235,36,42,205.96,2,51,42,7.29,15
Abishek Porel,DC,12,327,204,36,13,160.29,0,0,0,0,10
Akash Deep,RCB,1,2,2,0,0,100,1,55,21,15.71,0
Akash Madhwal,MI,5,4,5,0,0,80,5,205,109,11.28,0
Alzarri Joseph,RCB,3,0,0,0,0,0,1,115,58,11.9,0
Angkrish Raghuvanshi,KKR,7,163,105,16,8,155.24,0,0,0,0,7
Anmolpreet Singh,SRH,2,5,6,1,0,83.33,0,0,0,0,2
Anshul Kamboj,MI,3,2,2,0,0,100,2,112,60,11.2,0
Anuj Rawat,RCB,5,98,77,10,3,127.27,0,0,0,0,4
Anukul Roy,KKR,3,3,3,0,0,100,0,60,34,10.59,0
Arjun Tendulkar,MI,1,0,0,0,0,0,0,22,14,9.43,0
Arshad Khan,LSG,4,83,54,6,5,153.7,1,113,61,11.11,2
Arshdeep Singh,PBKS,14,4,3,1,0,133.33,19,503,302,9.99,1
Arshin Kulkarni,LSG,2,9,8,2,0,112.5,0,0,0,0,2
Ashutosh Sharma,PBKS,9,189,110,10,15,171.82,0,0,0,0,7
Ashwin,RR,14,86,74,5,4,116.22,9,466,330,8.47,6
Atharva Taide,PBKS,2,61,39,7,2,156.41,0,4,1,24,2
Avesh Khan,RR,15,10,5,1,0,200,19,525,329,9.57,0
Axar,DC,14,235,179,19,10,131.28,11,337,264,7.66,8
Ayush Badoni,LSG,12,235,171,22,5,137.43,0,25,12,12.5,8
Azmatullah,GT,7,42,33,2,2,127.27,4,186,126,8.86,4
Bairstow,PBKS,11,298,195,33,14,152.82,0,0,0,0,10
Bhui,DC,2,3,9,0,0,33.33,0,0,0,0,2
Bhuvneshwar,SRH,16,23,29,3,0,79.31,11,529,342,9.28,3
Boult,RR,15,14,16,2,0,87.5,16,443,320,8.31,2
Brevis,MI,3,69,59,3,5,116.95,0,0,0,0,3
Bumrah,MI,13,12,12,1,0,100,20,336,311,6.48,0
Buttler,RR,11,359,254,36,12,141.34,0,0,0,0,9
Chahal,RR,15,0,0,0,0,0,18,546,348,9.41,0
Chahar,CSK,8,0,0,0,0,0,5,202,141,8.6,0
Chakaravarthy,KKR,14,0,0,0,0,0,21,406,300,8.12,0
Chameera,KKR,1,0,0,0,0,0,0,48,18,16,0
Chawla,MI,11,15,15,1,1,100,13,312,210,8.91,4
Cummins,SRH,16,136,94,9,8,144.68,18,566,366,9.28,6
Darshan Nalkande,GT,3,12,11,0,1,109.09,3,45,29,9.31,1
Dhawan,PBKS,5,152,121,18,4,125.62,0,0,0,0,5
Dhoni,CSK,11,161,72,14,13,223.61,0,0,0,0,3
Dhruv Jurel,RR,11,195,141,18,7,138.3,0,0,0,0,8
Ferguson,RCB,7,1,1,0,0,100,9,255,144,10.62,1
Ferreira,RR,2,8,11,0,0,72.73,0,0,0,0,2
Fraser-McGurk,DC,9,330,139,32,28,237.41,0,0,0,0,9
Gaikwad,CSK,14,583,412,58,18,141.5,0,0,0,0,11
Gerald Coetzee,MI,10,14,22,0,1,63.64,13,341,201,10.18,4
Gowtham,LSG,1,0,0,0,0,0,0,29,12,14.5,0
Green,RCB,13,255,178,22,10,143.26,10,303,211,8.62,8
Gulbadin,DC,2,19,15,1,1,126.67,0,12,6,12,1
Gurbaz,KKR,2,62,46,7,4,134.78,0,0,0,0,2
Hardik Pandya,MI,14,216,151,17,11,143.05,11,385,216,10.69,12
Harpreet Brar,PBKS,13,75,54,8,2,138.89,7,303,228,7.97,2
Harpreet Singh,PBKS,2,27,34,2,0,79.41,0,0,0,0,2
Harshal Patel,PBKS,14,13,19,1,1,68.42,24,476,294,9.71,3
Harshit Rana,KKR,11,0,0,0,0,0,19,383,253,9.08,0
Head,SRH,15,567,294,64,32,192.86,0,32,10,19.2,14
Hetmyer,RR,9,113,68,9,7,166.18,0,0,0,0,5
